date,open,high,low,close,volume
2025-09-29,3165.065,3259.4197,3164.804,3238.0119,200825881.0
2025-09-26,3222.187,3251.8821,3150.8433,3151.5299,209243820.0
2025-09-25,3167.7518,3266.0031,3161.076,3235.7648,226942858.0
2025-09-24,3089.9039,3185.8367,3085.7011,3185.5709,221457642.0
2025-09-23,3139.4999,3157.0232,3041.4607,3114.553,249119041.0
2025-09-22,3093.9678,3107.8873,3053.354,3107.8873,199289290.0
2025-09-19,3098.2775,3128.3795,3072.7623,3091.0035,226063738.0
2025-09-18,3119.7738,3168.6787,3051.2987,3095.8512,310707377.0
2025-09-17,3085.7103,3152.308,3064.7685,3147.3454,244207710.0
2025-09-16,3072.3017,3089.7815,3020.6281,3087.0396,242587259.0
2025-09-15,3052.0587,3106.8793,3044.6874,3066.1804,224871259.0
2025-09-12,3024.1036,3056.5264,3009.9022,3020.4229,244051798.0
2025-09-11,2917.7672,3053.7488,2899.8301,3053.7488,247034712.0
2025-09-10,2890.0521,2926.1606,2860.2618,2904.2687,201444179.0
2025-09-09,2901.2894,2924.575,2843.6716,2867.9684,216032268.0
2025-09-08,2964.4285,2964.4285,2883.2612,2933.2464,246417816.0
2025-09-05,2789.9086,2962.4668,2775.1704,2958.181,241521964.0
2025-09-04,2933.6778,2956.4106,2741.0758,2776.2483,256229516.0
2025-09-03,2882.8425,2926.7759,2859.5067,2899.3728,244128872.0
2025-09-02,2951.0301,2979.7346,2839.9233,2872.2224,300447509.0
2025-09-01,2914.6423,2958.1407,2886.73,2956.3748,276014321.0
2025-08-29,2828.0124,2933.9925,2809.3184,2890.1252,284075156.0
2025-08-28,2707.3391,2827.172,2707.3391,2827.172,341026597.0
2025-08-27,2747.5002,2822.2711,2723.1985,2723.1985,363608515.0
2025-08-26,2747.1071,2773.2402,2726.7236,2742.1268,307531114.0
2025-08-25,2720.2816,2782.0143,2700.2783,2762.9906,352036541.0
2025-08-22,2587.5294,2683.9005,2587.5294,2682.5529,293811031.0
2025-08-21,2614.9146,2626.3735,2582.0538,2595.4654,292433377.0
2025-08-20,2572.0054,2608.0001,2547.4398,2607.6534,283145029.0
2025-08-19,2596.578,2634.597,2586.9482,2601.7431,324363016.0
2025-08-18,2549.5518,2633.8613,2529.2489,2606.2018,361326575.0
2025-08-15,2464.6655,2541.8941,2464.6655,2534.2187,280039650.0
2025-08-14,2496.6268,2513.3697,2463.8579,2469.6554,293131578.0
2025-08-13,2417.4693,2497.8571,2414.482,2496.5041,272434251.0
2025-08-12,2381.163,2409.3983,2368.8134,2409.3983,244883791.0
2025-08-11,2336.9289,2384.8598,2336.9289,2379.8165,244909805.0
2025-08-08,2338.2485,2353.9876,2330.0105,2333.959,243495473.0
2025-08-07,2359.423,2372.6829,2322.8051,2342.8609,257978553.0
2025-08-06,2335.95,2359.823,2335.95,2358.9547,254893312.0
2025-08-05,2349.4357,2350.9964,2323.7393,2343.3757,225177287.0
2025-08-04,2307.3731,2334.43,2304.483,2334.323,211838847.0
2025-08-01,2323.9212,2348.0151,2304.3856,2322.6268,228168384.0
2025-07-31,2382.9674,2394.2162,2321.7157,2328.313,252753644.0
2025-07-30,2395.8591,2395.8856,2349.1819,2367.6835,250304908.0
2025-07-29,2362.7746,2406.5945,2355.375,2406.5945,230716099.0
2025-07-28,2346.3807,2366.5068,2334.1604,2362.5995,216864237.0
2025-07-25,2348.2809,2350.0618,2332.0249,2340.0557,225715185.0
2025-07-24,2319.2524,2345.3673,2318.417,2345.3673,233231978.0
2025-07-23,2308.114,2333.3104,2304.6301,2310.671,234159581.0
2025-07-22,2295.3643,2313.4588,2290.3781,2310.856,242464647.0
